x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0,0.0300543,2.8217e-22,294,-12.0768,1.58078e-06,8.03027e-19,2.78065e-19,2.42018e-05,1.13874e-17,0.000273459,1.12165e-12,2.26039e-10,0,9.24507e-22,1.9077e-21,0,1.07002e-10,0.997688,2.49926e-05,0.0003037,3.47021e-18,1.91783e-07,4.58316e-21,4.55573e-13,2.33876e-08,0,1.5165e-06,2.96021e-20,2.08788e-06,2.38878e-13,1.02004e-06,6.44255e-20,1.83549e-07,2.6892e-09,4.97629e-21,1.99708e-19,1.14357e-16,9.01701e-10,4.65791e-30,2.0294e-08,3.12386e-09,3.06771e-10,5.95781e-15,0,3.02593e-09,9.28968e-16,2.25051e-27,1.13807e-09,2.47137e-12,3.47682e-09,1.15874e-21,0.00165442,2.48469e-05,1.45776e-11,4.27605e-10,6.32793e-16,7.04882e-10,1
0.000408163,0.0300261,0.24985,294.864,-12.0768,2.38725e-06,1.21273e-18,4.19927e-19,3.65489e-05,1.71959e-17,0.00041297,1.69388e-12,3.41359e-10,0,8.15364e-29,1.29162e-21,1.47294e-27,1.61592e-10,0.996521,3.77431e-05,0.000458639,5.24061e-18,2.89626e-07,5.80699e-21,6.87995e-13,3.53193e-08,0,2.29017e-06,4.47043e-20,3.15306e-06,3.60747e-13,1.54043e-06,9.72936e-20,2.7719e-07,4.06115e-09,4.1734e-21,3.04195e-19,1.72698e-16,1.36172e-09,7.03427e-30,3.06474e-08,4.71757e-09,4.63277e-10,8.99732e-15,0,4.56967e-09,1.4029e-15,3.39867e-27,1.71868e-09,3.7322e-12,5.25061e-09,1.7499e-21,0.00249846,2.48195e-05,2.20148e-11,6.45757e-10,9.55627e-16,1.06449e-09,0.998897
0.000816327,0.0298297,0.501259,296.164,-12.0768,3.60013e-06,1.96063e-18,7.98955e-19,5.51181e-05,3.83781e-17,0.000622787,2.58892e-12,5.14791e-10,0,7.42803e-36,2.02042e-21,5.55124e-27,2.441e-10,0.994766,5.69191e-05,0.000691658,8.35492e-18,4.36775e-07,1.17641e-20,1.0393e-12,5.32639e-08,1.44817e-29,3.45373e-06,8.35353e-20,4.75503e-06,5.41672e-13,2.32307e-06,2.00572e-19,4.18021e-07,6.12449e-09,3.32792e-21,4.83171e-19,2.60445e-16,2.05357e-09,1.81603e-29,4.62183e-08,7.11435e-09,6.98652e-10,1.35688e-14,0,6.89137e-09,2.11563e-15,5.29697e-29,2.59188e-09,5.6284e-12,7.91826e-09,2.63884e-21,0.00376784,2.47783e-05,3.32029e-11,9.73845e-10,1.49759e-15,1.60533e-09,0.997239
0.00122449,0.0294792,0.754887,298.11,-12.0768,5.41341e-06,3.28386e-18,1.63123e-18,8.28794e-05,8.51604e-17,0.000936466,4.00508e-12,7.74077e-10,0,6.1585e-37,4.06193e-21,1.886e-26,3.68372e-10,0.992142,8.55875e-05,0.00104003,1.38311e-17,6.56766e-07,2.46826e-20,1.56801e-12,8.00914e-08,3.9738e-29,5.19328e-06,1.5872e-19,7.14999e-06,8.06968e-13,3.49314e-06,4.37355e-19,6.28566e-07,9.20921e-09,2.49235e-21,7.96753e-19,3.91644e-16,3.08789e-09,4.9777e-29,6.94972e-08,1.06975e-08,1.05054e-09,2.04041e-14,0,1.03623e-08,3.18105e-15,5.58284e-31,3.89733e-09,8.46326e-12,1.19065e-08,4.12717e-21,0.00566559,2.47167e-05,4.99366e-11,1.46434e-09,2.43245e-15,2.41388e-09,0.99476
0.00163265,0.0289932,1.0116,300.995,-12.0768,8.09882e-06,5.72708e-18,3.38627e-18,0.000123993,1.86493e-16,0.00140101,6.27989e-12,1.15807e-09,0,2.26373e-36,8.52878e-21,6.34957e-26,5.54474e-10,0.988256,0.000128045,0.00155595,2.37802e-17,9.82565e-07,5.19648e-20,2.35801e-12,1.19822e-07,1.12168e-28,7.76948e-06,3.09789e-19,1.06969e-05,1.18864e-12,5.22596e-06,9.5923e-19,9.40376e-07,1.37776e-08,1.7298e-21,1.37031e-18,5.85982e-16,4.61969e-09,1.46937e-28,1.03973e-07,1.60037e-08,1.57168e-09,3.05285e-14,4.74445e-30,1.55027e-08,4.75865e-15,4.09896e-33,5.83066e-09,1.26616e-11,1.78128e-08,6.89728e-21,0.0084761,2.46254e-05,7.47344e-11,2.19075e-09,4.10343e-15,3.61133e-09,0.991088
0.00204082,0.028394,1.27246,305.221,-12.0768,1.20228e-05,1.05095e-17,7.10288e-18,0.000184069,3.99863e-16,0.00207982,1.0007e-11,1.71916e-09,0,8.96787e-36,1.83091e-20,2.10263e-25,8.30946e-10,0.982578,0.000190083,0.00230982,4.2553e-17,1.45863e-06,1.08491e-19,3.52624e-12,1.77877e-07,3.45842e-28,1.15339e-05,6.32604e-19,1.58796e-05,1.72281e-12,7.75797e-06,2.09162e-18,1.396e-06,2.04529e-08,1.09735e-21,2.48466e-18,8.7003e-16,6.85797e-09,4.77445e-28,1.54349e-07,2.37565e-08,2.33317e-09,4.53264e-14,1.43546e-29,2.3014e-08,7.06319e-15,3.83113e-34,8.65566e-09,1.87962e-11,2.64433e-08,1.24987e-20,0.0125828,2.44921e-05,1.11003e-10,3.25218e-09,7.22999e-15,5.36105e-09,0.985722
0.00244898,0.0277058,1.53865,311.304,-12.0768,1.76542e-05,2.05262e-17,1.51686e-17,0.000270287,8.32491e-16,0.00305401,1.62668e-11,2.52442e-09,0,3.90661e-35,4.0504e-20,6.79565e-25,1.2375e-09,0.97443,0.000279118,0.00339173,7.94713e-17,2.14185e-06,2.22623e-19,5.22916e-12,2.61194e-07,1.19402e-27,1.69363e-05,1.376e-18,2.33176e-05,2.44225e-12,1.13918e-05,4.5038e-18,2.04988e-06,3.00331e-08,6.28477e-22,4.81435e-18,1.27787e-15,1.00702e-08,1.74921e-27,2.26648e-07,3.48817e-08,3.42603e-09,6.65734e-14,4.73159e-29,3.37937e-08,1.03688e-14,1.52615e-33,1.271e-08,2.76004e-11,3.88294e-08,2.45338e-20,0.0184766,2.43008e-05,1.63127e-10,4.77549e-09,1.34107e-14,7.87216e-09,0.978022
0.00285714,0.0269511,1.81127,319.871,-12.0768,2.55513e-05,4.31565e-17,3.32887e-17,0.000391191,1.66964e-15,0.00442012,2.70826e-11,3.65364e-09,0,1.91552e-34,9.33565e-20,2.12705e-24,1.82806e-09,0.963003,0.000403973,0.00490892,1.55454e-16,3.09993e-06,4.47419e-19,7.66355e-12,3.78031e-07,4.72575e-27,2.45123e-05,3.24124e-18,3.37479e-05,3.36303e-12,1.64875e-05,9.52819e-18,2.96683e-06,4.34674e-08,3.22987e-22,1.00867e-17,1.85021e-15,1.45748e-08,7.39009e-27,3.28035e-07,5.04795e-08,4.95856e-09,9.63926e-14,1.75933e-28,4.89102e-08,1.49998e-14,7.11065e-33,1.83954e-08,3.99466e-11,5.61984e-08,5.16374e-20,0.0267416,2.40325e-05,2.36362e-10,6.91163e-09,2.64117e-14,1.13935e-08,0.967224
0.00326531,0.0261429,2.09095,331.608,-12.0768,3.63122e-05,9.86766e-17,7.55264e-17,0.00055594,3.20549e-15,0.00628164,4.63144e-11,5.19236e-09,0,1.07738e-33,2.25888e-19,6.40074e-24,2.67389e-09,0.947432,0.000574105,0.0069763,3.20112e-16,4.40546e-06,8.87472e-19,1.10519e-11,5.37238e-07,2.17509e-26,3.48355e-05,8.38729e-18,4.79608e-05,4.46927e-12,2.34311e-05,1.97535e-17,4.21631e-06,6.17737e-08,1.52208e-22,2.29506e-17,2.63116e-15,2.0713e-08,3.65653e-26,4.66194e-07,7.1727e-08,7.04685e-09,1.37087e-13,7.46919e-28,6.95087e-08,2.12979e-14,3.72754e-32,2.61426e-08,5.677e-11,7.98663e-08,1.15097e-19,0.0380037,2.36669e-05,3.36421e-10,9.82241e-09,5.56252e-14,1.61919e-08,0.952511
0.00367347,0.0252772,2.37738,347.175,-12.0768,5.04838e-05,2.47003e-16,1.77049e-16,0.000772908,5.87271e-15,0.0087332,8.13542e-11,7.2188e-09,4.23518e-43,7.01027e-33,5.74109e-19,1.84077e-23,3.86656e-09,0.926926,0.000798163,0.00969896,6.97907e-16,6.12479e-06,1.78686e-18,1.55963e-11,7.46907e-07,1.15949e-25,4.84309e-05,2.40646e-17,6.66787e-05,5.71308e-12,3.25755e-05,4.01971e-17,5.86182e-06,8.58823e-08,7.83199e-23,5.62096e-17,3.66235e-15,2.87967e-08,2.12172e-25,6.48154e-07,9.96944e-08,9.79704e-09,1.90838e-13,3.6051e-27,9.66361e-08,2.95573e-14,2.20665e-31,3.63453e-08,7.89258e-11,1.11036e-07,2.68225e-19,0.0528356,2.31855e-05,4.68629e-10,1.36558e-08,1.25603e-13,2.25111e-08,0.933133
